,CellID,cell_size,Hoechst1,A488,A555,A647,Hoechst2,anti_NaKATPase,anti_CD3,anti_CD45RO,Hoechst3,Ki67,Keratin,aSMA,Hoechst4,CD8a,CD4,CD45,Hoechst5,CD20,CD11c,PD1,Hoechst6,CD68,FOXP3,PDL1,Hoechst7,CD163,H3_PE,CD31,Hoechst8,Ecad,Vimentin,Catenin,Hoechst9,LaminAC,pH3,H2ax,x_centroid,y_centroid
0,1,3.0,5513.666666666667,2159.0,538.0,1124.0,7420.0,7660.666666666667,0.0,25428.666666666668,5933.0,5646.0,318.0,1343.3333333333333,11201.333333333334,0.0,0.0,3688.3333333333335,13394.0,0.0,4633.0,26229.0,11086.0,0.0,558.3333333333334,1523.0,11097.333333333334,0.0,4886.666666666667,1697.6666666666667,11579.666666666666,1186.0,1874.0,1576.3333333333333,19753.333333333332,1594.6666666666667,435.6666666666667,1162.0,0.3333333333333333,96.66666666666667
1,2,7.0,4083.714285714286,1996.2857142857142,483.57142857142856,1066.857142857143,5107.857142857143,6688.857142857143,0.0,20203.14285714286,4140.428571428572,4431.285714285715,308.2857142857143,1048.2857142857142,7684.142857142857,0.0,0.0,3345.4285714285716,9024.57142857143,0.0,4173.428571428572,23920.428571428572,6852.0,0.0,506.14285714285717,1535.142857142857,6743.285714285715,0.0,3988.285714285714,1750.4285714285713,7230.142857142857,1062.857142857143,3300.285714285714,1538.0,13574.714285714286,1563.4285714285713,393.0,1133.857142857143,0.42857142857142855,100.28571428571429
2,3,18.0,13183.722222222223,2117.3333333333335,441.72222222222223,1240.111111111111,16178.944444444445,5435.666666666667,7355.451278425828,8317.5,17876.833333333332,2829.5555555555557,296.27777777777777,828.7222222222222,33506.88888888889,6334.003456266447,10328.754487255017,5183.333333333333,35219.833333333336,1093.5184006912532,4499.611111111111,21163.555555555555,30251.5,776.1341267035859,516.9444444444445,2538.6111111111113,32579.777777777777,917.6323789324849,12870.0,1379.611111111111,29443.0,1031.0,817.1111111111111,1190.1666666666667,53230.833333333336,2036.7222222222222,502.6666666666667,1053.9444444444443,2.111111111111111,1.2777777777777777
3,4,60.0,9018.966666666667,1941.0,495.06666666666666,1018.9666666666667,13933.5,5574.733333333334,4833.412540660846,7841.683333333333,11372.016666666666,3348.8,299.8666666666667,1692.2333333333333,21048.35,3386.0987502140047,6301.725663413799,3216.7166666666667,22261.116666666665,4188.878436911487,7384.1,17328.033333333333,18683.266666666666,2636.3756206129087,501.55,1632.7,18553.25,1168.5091936312276,10360.483333333334,1697.25,17065.783333333333,1021.8,1426.2166666666667,1612.3,28540.75,1843.6666666666667,446.5,1138.3,2.3833333333333333,108.43333333333334
4,5,2.0,10859.5,1922.5,506.0,1081.5,13954.5,3910.0,0.0,12157.5,15132.0,3019.0,330.0,1304.5,24356.5,0.0,0.0,5033.0,26063.0,0.0,751.0,34485.0,23816.0,0.0,541.0,1423.0,27173.0,0.0,16469.0,2247.5,23767.0,1018.5,1535.5,952.0,49755.5,2082.0,480.5,1250.5,0.0,180.5
5,6,14.0,14720.714285714286,2039.0,486.42857142857144,1053.2857142857142,20105.5,4263.642857142857,3060.9757763975153,23313.0,19924.285714285714,2726.0714285714284,313.42857142857144,1234.642857142857,37571.0,179.7931677018631,2368.519254658385,6558.357142857143,38019.642857142855,0.0,8006.642857142857,19098.785714285714,31542.5,1613.3080745341615,532.9285714285714,2309.214285714286,33286.92857142857,714.8552795031056,16556.64285714286,1408.857142857143,29693.214285714286,991.4285714285714,1037.4285714285713,1013.7857142857143,48506.21428571428,3389.6428571428573,736.4285714285714,1204.0,1.0,14.642857142857142
6,7,28.0,16321.464285714286,1915.0,449.7857142857143,997.6428571428571,22277.035714285714,5077.357142857143,9276.129193722943,16646.39285714286,23648.071428571428,3021.785714285714,308.64285714285717,1481.9642857142858,42898.67857142857,111.79058441558404,4326.772997835497,3328.035714285714,44221.96428571428,748.3407738095237,2162.8928571428573,23596.035714285714,39130.03571428572,222.96563852813844,812.9285714285714,1445.9285714285713,41775.78571428572,924.3933982683983,18879.35714285714,1288.392857142857,37596.71428571428,1452.4642857142858,858.2142857142857,1000.9285714285714,63324.07142857143,2355.464285714286,499.85714285714283,1243.4642857142858,1.7857142857142858,125.71428571428571
7,8,27.0,19250.85185185185,1928.4814814814815,457.51851851851853,1002.5925925925926,26042.37037037037,4275.111111111111,5577.374221920879,9714.25925925926,26801.296296296296,3067.6666666666665,282.2962962962963,1116.0740740740741,48060.92592592593,1062.392246047217,4686.248735768569,4802.814814814815,48505.22222222222,4781.318153139156,984.0,19710.925925925927,42186.11111111111,567.6017412021735,582.7777777777778,1431.4444444444443,44240.333333333336,863.1879208219152,22121.37037037037,861.0370370370371,40626.48148148148,1101.2592592592594,857.2222222222222,1015.7037037037037,63922.81481481482,2344.703703703704,484.3703703703704,1322.962962962963,1.2962962962962963,163.96296296296296
8,9,28.0,13321.642857142857,1732.892857142857,431.32142857142856,955.0357142857143,18792.535714285714,3949.3214285714284,9867.07611631972,6236.714285714285,19116.14285714286,2625.8214285714284,279.2142857142857,1784.9285714285713,33684.21428571428,1699.1727713332273,4084.267122199269,3703.6071428571427,33993.71428571428,1101.097092006992,3654.4285714285716,20233.64285714286,31147.785714285714,1527.612664865724,590.3571428571429,1607.642857142857,32860.42857142857,956.8489988876529,16005.17857142857,1111.142857142857,28669.14285714286,1141.7857142857142,922.1785714285714,1034.3214285714287,50385.78571428572,2101.8571428571427,469.2142857142857,1268.4642857142858,1.1071428571428572,195.17857142857142
9,10,32.0,19189.6875,2080.375,466.09375,1006.46875,26640.46875,4990.03125,8111.727245423341,6198.125,26971.15625,2854.84375,285.34375,1214.53125,47203.0625,3000.1289902745993,2480.6613486842107,3472.90625,46320.25,210.65936069794043,2247.625,16652.4375,38364.625,371.7066719107552,562.25,1450.15625,36692.1875,1114.654033180778,13683.0625,1082.125,30752.4375,1295.1875,600.6875,1011.96875,50627.71875,1885.78125,470.3125,1100.46875,2.03125,81.9375
10,11,20.0,17083.75,1947.7,453.75,1039.0,23670.05,3422.5,3397.1928205128215,4493.7,23926.15,2419.55,281.9,1050.8,42603.95,0.0,217.35179487179556,3004.0,42991.4,4423.362564102565,1252.45,21852.8,36062.7,214.81461538461545,487.55,1366.75,37678.7,498.76512820512824,16509.9,1188.6,32798.3,1064.9,1216.35,1032.25,54252.95,2145.2,462.7,1107.25,0.85,29.95
11,12,44.0,15046.454545454546,2043.9318181818182,466.20454545454544,1166.0,20016.477272727272,4973.159090909091,8124.0494708732085,12313.84090909091,20597.886363636364,2987.0,287.34090909090907,1100.159090909091,37622.181818181816,6505.723550217057,7888.878411200922,4365.113636363636,38747.204545454544,0.0,2182.659090909091,26711.340909090908,32951.204545454544,568.666786446708,504.5681818181818,1662.2045454545455,34291.27272727273,861.6357043620882,14426.568181818182,1113.1136363636363,30666.06818181818,1281.9318181818182,808.3863636363636,1109.5227272727273,50672.181818181816,1904.659090909091,460.79545454545456,1177.1818181818182,1.6136363636363635,42.75
12,13,35.0,16163.171428571428,1941.142857142857,449.0857142857143,1035.7714285714285,21461.914285714287,5855.6,8979.053129553373,10331.142857142857,21909.085714285713,3049.4857142857145,281.8,1125.2,39688.97142857143,989.3371365220145,8448.760275578079,3410.0,40931.514285714286,0.0,2670.8285714285716,25024.77142857143,34451.0,440.43074437757366,540.1142857142858,1465.942857142857,34648.514285714286,1016.0813842255307,13603.828571428572,1892.142857142857,30569.885714285716,925.1428571428571,700.0857142857143,1381.6285714285714,50348.857142857145,1913.942857142857,484.25714285714287,1112.4571428571428,1.2857142857142858,55.285714285714285
13,14,108.0,15092.675925925925,1881.9907407407406,445.55555555555554,968.1296296296297,21023.51851851852,4180.731481481482,3635.839476778366,4923.148148148148,20949.462962962964,44796.62962962963,276.01851851851853,1044.2314814814815,37554.53703703704,10226.522103419558,988.7526846952773,4010.3981481481483,38733.56481481482,1019.1886831275721,2427.712962962963,12247.907407407407,33584.75925925926,938.9251139035862,507.94444444444446,1558.6574074074074,35246.0,1224.3093609151479,19970.0,1111.898148148148,32777.46296296296,1079.9814814814815,707.7222222222222,1081.4814814814815,55337.22222222222,2190.0185185185187,486.01851851851853,1236.888888888889,4.87962962962963,140.37037037037038
14,15,50.0,11585.66,1922.76,451.94,1046.5,14871.56,4031.9,10230.388952684742,8908.38,15477.88,2880.2,286.38,1187.78,28132.22,591.4384830763779,7829.489907850435,3441.38,29781.4,7669.471089845827,2197.38,27337.08,25691.98,863.2252684742158,525.84,1466.66,27556.84,1074.7255165692009,15303.1,1133.2,26825.92,1342.62,946.62,1090.36,46845.58,2152.48,463.22,1217.9,2.48,155.8
15,16,52.0,12891.153846153846,1932.9615384615386,453.25,1074.6153846153845,18855.653846153848,4863.7692307692305,11912.136869444832,26199.51923076923,16933.53846153846,6280.365384615385,337.78846153846155,1535.3653846153845,30943.615384615383,2208.8108584624692,10443.31201515892,9569.884615384615,32630.076923076922,6243.945006456793,1016.7307692307693,27629.05769230769,28396.44230769231,806.4206922727907,525.0192307692307,1586.3846153846155,30171.53846153846,1095.7696167225092,18545.0,1046.1153846153845,28706.78846153846,921.6923076923077,993.5576923076923,992.6923076923077,49422.846153846156,2018.4423076923076,491.3269230769231,1207.8653846153845,2.3653846153846154,175.53846153846155
